,uniprot_id,Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_first
321,q7z3b3,Q7Z3B3,KANL1_HUMAN,reviewed,KAT8 regulatory NSL complex subunit 1 (MLL1/MLL complex subunit KANSL1) (MSL1 homolog 1) (hMSL1v1) (NSL complex protein NSL1) (Non-specific lethal 1 homolog),KANSL1 CENP-36 KIAA1267 MSL1V1 NSL1,Homo sapiens (Human),1105,KANSL1
322,p36578,P36578,RL4_HUMAN,reviewed,Large ribosomal subunit protein uL4 (60S ribosomal protein L1) (60S ribosomal protein L4),RPL4 RPL1,Homo sapiens (Human),427,RPL4
323,p61221,P61221,ABCE1_HUMAN,reviewed,ATP-binding cassette sub-family E member 1 (EC 3.6.5.-) (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,Homo sapiens (Human),599,ABCE1
324,q93079,Q93079,H2B1H_HUMAN,reviewed,Histone H2B type 1-H (H2B-clustered histone 9) (Histone H2B.j) (H2B/j),H2BC9 H2BFJ HIST1H2BH,Homo sapiens (Human),126,H2BC9
325,o00629,O00629,IMA3_HUMAN,reviewed,Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4),KPNA4 QIP1,Homo sapiens (Human),521,KPNA4
326,p62807,P62807,H2B1C_HUMAN,reviewed,Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l),H2BC4 H2BFL HIST1H2BC; H2BC6 H2BFH HIST1H2BE; H2BC7 H2BFG HIST1H2BF; H2BC8 H2BFA HIST1H2BG; H2BC10 H2BFK HIST1H2BI,Homo sapiens (Human),126,H2BC4
327,q13111,Q13111,CAF1A_HUMAN,reviewed,Chromatin assembly factor 1 subunit A (CAF-1 subunit A) (Chromatin assembly factor I p150 subunit) (CAF-I 150 kDa subunit) (CAF-I p150) (hp150),CHAF1A CAF CAF1P150,Homo sapiens (Human),956,CHAF1A
328,q96rt8,Q96RT8,GCP5_HUMAN,reviewed,Gamma-tubulin complex component 5 (GCP-5),TUBGCP5 GCP5 KIAA1899,Homo sapiens (Human),1024,TUBGCP5
329,o15372,O15372,EIF3H_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit),EIF3H EIF3S3,Homo sapiens (Human),352,EIF3H
330,q8wts6,Q8WTS6,SETD7_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.364) (Histone H3-K4 methyltransferase SETD7) (H3-K4-HMTase SETD7) (Lysine N-methyltransferase 7) (SET domain-containing protein 7) (SET7/9),SETD7 KIAA1717 KMT7 SET7 SET9,Homo sapiens (Human),366,SETD7
331,p38398,P38398,BRCA1_HUMAN,reviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1),BRCA1 RNF53,Homo sapiens (Human),1863,BRCA1
332,q9bwt1,Q9BWT1,CDCA7_HUMAN,reviewed,Cell division cycle-associated protein 7 (Protein JPO1),CDCA7 JPO1,Homo sapiens (Human),371,CDCA7
333,q14974,Q14974,IMB1_HUMAN,reviewed,Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97),KPNB1 NTF97,Homo sapiens (Human),876,KPNB1
334,p84243,P84243,H33_HUMAN,reviewed,Histone H3.3,H3-3A H3.3A H3F3 H3F3A PP781; H3-3B H3.3B H3F3B,Homo sapiens (Human),136,H3-3A
335,q93015,Q93015,NAA80_HUMAN,reviewed,N-alpha-acetyltransferase 80 (HsNAAA80) (EC 2.3.1.-) (N-acetyltransferase 6) (Protein fusion-2) (Protein fus-2),NAA80 FUS2 NAT6,Homo sapiens (Human),286,NAA80
336,o75448,O75448,MED24_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 24 (Activator-recruited cofactor 100 kDa component) (ARC100) (Cofactor required for Sp1 transcriptional activation subunit 4) (CRSP complex subunit 4) (Mediator complex subunit 24) (Thyroid hormone receptor-associated protein 4) (Thyroid hormone receptor-associated protein complex 100 kDa component) (Trap100) (hTRAP100) (Vitamin D3 receptor-interacting protein complex 100 kDa component) (DRIP100),MED24 ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100,Homo sapiens (Human),989,MED24
337,q15796,Q15796,SMAD2_HUMAN,reviewed,Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2),SMAD2 MADH2 MADR2,Homo sapiens (Human),467,SMAD2
338,p31947,P31947,1433S_HUMAN,reviewed,14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin),SFN HME1,Homo sapiens (Human),248,SFN
339,q86u86,Q86U86,PB1_HUMAN,reviewed,Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D),PBRM1 BAF180 PB1,Homo sapiens (Human),1689,PBRM1
340,q9una4,Q9UNA4,POLI_HUMAN,reviewed,DNA polymerase iota (EC 2.7.7.7) (Eta2) (RAD30 homolog B),POLI RAD30B,Homo sapiens (Human),740,POLI
341,q96iy1,Q96IY1,NSL1_HUMAN,reviewed,Kinetochore-associated protein NSL1 homolog,NSL1 C1orf48 DC31 DC8 MIS14,Homo sapiens (Human),281,NSL1
342,p16104,P16104,H2AX_HUMAN,reviewed,Histone H2AX (H2a/x) (Histone H2A.X),H2AX H2AFX,Homo sapiens (Human),143,H2AX
343,q9ubz9,Q9UBZ9,REV1_HUMAN,reviewed,DNA repair protein REV1 (EC 2.7.7.-) (Alpha integrin-binding protein 80) (AIBP80) (Rev1-like terminal deoxycytidyl transferase),REV1 REV1L,Homo sapiens (Human),1251,REV1
344,p42677,P42677,RS27_HUMAN,reviewed,Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1) (MPS-1),RPS27 MPS1,Homo sapiens (Human),84,RPS27
345,q9h871,Q9H871,RMD5A_HUMAN,reviewed,E3 ubiquitin-protein transferase RMND5A (EC 2.3.2.27) (P44CTLH) (Protein RMD5 homolog A),RMND5A,Homo sapiens (Human),391,RMND5A
346,p20618,P20618,PSB1_HUMAN,reviewed,Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain) (Proteasome subunit beta-6) (beta-6),PSMB1 PSC5,Homo sapiens (Human),241,PSMB1
347,p33552,P33552,CKS2_HUMAN,reviewed,Cyclin-dependent kinases regulatory subunit 2 (CKS-2),CKS2,Homo sapiens (Human),79,CKS2
348,p62917,P62917,RL8_HUMAN,reviewed,Large ribosomal subunit protein uL2 (60S ribosomal protein L8),RPL8,Homo sapiens (Human),257,RPL8
349,p22090,P22090,RS4Y1_HUMAN,reviewed,"Small ribosomal subunit protein eS4, Y isoform 1 (40S ribosomal protein S4)",RPS4Y1 RPS4Y PRO2646,Homo sapiens (Human),263,RPS4Y1
350,p30876,P30876,RPB2_HUMAN,reviewed,DNA-directed RNA polymerase II subunit RPB2 (EC 2.7.7.6) (3'-5' exoribonuclease) (EC 3.1.13.-) (DNA-directed RNA polymerase II 140 kDa polypeptide) (DNA-directed RNA polymerase II subunit B) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2) (RNA-directed RNA polymerase II subunit RPB2) (EC 2.7.7.48),POLR2B,Homo sapiens (Human),1174,POLR2B
351,o94953,O94953,KDM4B_HUMAN,reviewed,Lysine-specific demethylase 4B (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3B) (Jumonji domain-containing protein 2B) ([histone H3]-trimethyl-L-lysine(9) demethylase 4B),KDM4B JHDM3B JMJD2B KIAA0876,Homo sapiens (Human),1096,KDM4B
352,o43189,O43189,PHF1_HUMAN,reviewed,PHD finger protein 1 (Protein PHF1) (hPHF1) (Polycomb-like protein 1) (hPCl1),PHF1 PCL1,Homo sapiens (Human),567,PHF1
353,p18077,P18077,RL35A_HUMAN,reviewed,Large ribosomal subunit protein eL33 (60S ribosomal protein L35a) (Cell growth-inhibiting gene 33 protein),RPL35A GIG33,Homo sapiens (Human),110,RPL35A
354,p62487,P62487,RPB7_HUMAN,reviewed,DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19),POLR2G RPB7,Homo sapiens (Human),172,POLR2G
355,q9nvp2,Q9NVP2,ASF1B_HUMAN,reviewed,Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II),ASF1B,Homo sapiens (Human),202,ASF1B
356,p04908,P04908,H2A1B_HUMAN,reviewed,Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m),H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE,Homo sapiens (Human),130,H2AC4
357,q9ujw3,Q9UJW3,DNM3L_HUMAN,reviewed,DNA (cytosine-5)-methyltransferase 3-like,DNMT3L,Homo sapiens (Human),386,DNMT3L
358,o15530,O15530,PDPK1_HUMAN,reviewed,3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1),PDPK1 PDK1,Homo sapiens (Human),556,PDPK1
359,q9y294,Q9Y294,ASF1A_HUMAN,reviewed,Histone chaperone ASF1A (Anti-silencing function protein 1 homolog A) (hAsf1) (hAsf1a) (CCG1-interacting factor A) (CIA) (hCIA),ASF1A CGI-98 HSPC146,Homo sapiens (Human),204,ASF1A
360,p49642,P49642,PRI1_HUMAN,reviewed,DNA primase small subunit (EC 2.7.7.102) (DNA primase 49 kDa subunit) (p49),PRIM1,Homo sapiens (Human),420,PRIM1
361,p08865,P08865,RSSA_HUMAN,reviewed,Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4),RPSA LAMBR LAMR1,Homo sapiens (Human),295,RPSA
362,p62333,P62333,PRS10_HUMAN,reviewed,26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42),PSMC6 SUG2,Homo sapiens (Human),389,PSMC6
363,o43709,O43709,BUD23_HUMAN,reviewed,18S rRNA (guanine-N(7))-methyltransferase (EC 2.1.1.-) (Bud site selection protein 23 homolog) (Metastasis-related methyltransferase 1) (Williams-Beuren syndrome chromosomal region 22 protein) (rRNA methyltransferase and ribosome maturation factor),BUD23 MERM1 WBSCR22 HUSSY-03 PP3381,Homo sapiens (Human),281,BUD23
364,p63220,P63220,RS21_HUMAN,reviewed,Small ribosomal subunit protein eS21 (40S ribosomal protein S21),RPS21,Homo sapiens (Human),83,RPS21
365,q16531,Q16531,DDB1_HUMAN,reviewed,DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe),DDB1 XAP1,Homo sapiens (Human),1140,DDB1
366,q9nsp4,Q9NSP4,CENPM_HUMAN,reviewed,Centromere protein M (CENP-M) (Interphase centromere complex protein 39) (Proliferation-associated nuclear element protein 1),CENPM C22orf18 ICEN39 PANE1,Homo sapiens (Human),180,CENPM
367,q9h9l4,Q9H9L4,KANL2_HUMAN,reviewed,KAT8 regulatory NSL complex subunit 2 (NSL complex protein NSL2) (Non-specific lethal 2 homolog),KANSL2 C12orf41 NSL2,Homo sapiens (Human),492,KANSL2
368,q6zn18,Q6ZN18,AEBP2_HUMAN,reviewed,Zinc finger protein AEBP2 (Adipocyte enhancer-binding protein 2) (AE-binding protein 2),AEBP2,Homo sapiens (Human),517,AEBP2
369,q16594,Q16594,TAF9_HUMAN,reviewed,Transcription initiation factor TFIID subunit 9 (RNA polymerase II TBP-associated factor subunit G) (STAF31/32) (Transcription initiation factor TFIID 31 kDa subunit) (TAFII-31) (TAFII31) (Transcription initiation factor TFIID 32 kDa subunit) (TAFII-32) (TAFII32),TAF9 TAF2G TAFII31,Homo sapiens (Human),264,TAF9
370,q9ugn5,Q9UGN5,PARP2_HUMAN,reviewed,Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-),PARP2 ADPRT2 ADPRTL2,Homo sapiens (Human),583,PARP2
371,p61978,P61978,HNRPK_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP),HNRNPK HNRPK,Homo sapiens (Human),463,HNRNPK
372,q9nvc6,Q9NVC6,MED17_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 17 (Activator-recruited cofactor 77 kDa component) (ARC77) (Cofactor required for Sp1 transcriptional activation subunit 6) (CRSP complex subunit 6) (Mediator complex subunit 17) (Thyroid hormone receptor-associated protein complex 80 kDa component) (Trap80) (Transcriptional coactivator CRSP77) (Vitamin D3 receptor-interacting protein complex 80 kDa component) (DRIP80),MED17 ARC77 CRSP6 DRIP77 DRIP80 TRAP80,Homo sapiens (Human),651,MED17
373,q92793,Q92793,CBP_HUMAN,reviewed,CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein lactyltransferas CREBBP) (EC 2.3.1.-) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-),CREBBP CBP,Homo sapiens (Human),2442,CREBBP
374,q9bs18,Q9BS18,APC13_HUMAN,reviewed,Anaphase-promoting complex subunit 13 (APC13) (Cyclosome subunit 13),ANAPC13,Homo sapiens (Human),74,ANAPC13
375,p41567,P41567,EIF1_HUMAN,reviewed,Eukaryotic translation initiation factor 1 (eIF1) (A121) (Protein translation factor SUI1 homolog) (Sui1iso1),EIF1 SUI1,Homo sapiens (Human),113,EIF1
376,p62875,P62875,RPAB5_HUMAN,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RNA polymerase II 7.6 kDa subunit) (RPB7.6) (RPB10 homolog)",POLR2L,Homo sapiens (Human),67,POLR2L
377,o15514,O15514,RPB4_HUMAN,reviewed,DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (DNA-directed RNA polymerase II subunit D) (RNA polymerase II 16 kDa subunit) (RPB16),POLR2D,Homo sapiens (Human),142,POLR2D
378,p33991,P33991,MCM4_HUMAN,reviewed,DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21),MCM4 CDC21,Homo sapiens (Human),863,MCM4
379,q9byw2,Q9BYW2,SETD2_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP),SETD2 HIF1 HYPB KIAA1732 KMT3A SET2 HSPC069,Homo sapiens (Human),2564,SETD2
380,q99986,Q99986,VRK1_HUMAN,reviewed,Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1),VRK1,Homo sapiens (Human),396,VRK1
381,q9btc0,Q9BTC0,DIDO1_HUMAN,reviewed,Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1),DIDO1 C20orf158 DATF1 KIAA0333,Homo sapiens (Human),2240,DIDO1
382,p55201,P55201,BRPF1_HUMAN,reviewed,Peregrin (Bromodomain and PHD finger-containing protein 1) (Protein Br140),BRPF1 BR140,Homo sapiens (Human),1214,BRPF1
383,p19447,P19447,ERCC3_HUMAN,reviewed,General transcription and DNA repair factor IIH helicase/translocase subunit XPB (TFIIH subunit XPB) (EC 5.6.2.4) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA 3'-5' helicase/translocase XPB) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein),ERCC3 XPB XPBC,Homo sapiens (Human),782,ERCC3
384,o75419,O75419,CDC45_HUMAN,reviewed,Cell division control protein 45 homolog (PORC-PI-1),CDC45 CDC45L CDC45L2 UNQ374/PRO710,Homo sapiens (Human),566,CDC45
385,q96ap0,Q96AP0,ACD_HUMAN,reviewed,Adrenocortical dysplasia protein homolog (POT1 and TIN2-interacting protein),ACD PIP1 PTOP TINT1 TPP1,Homo sapiens (Human),458,ACD
386,q9c086,Q9C086,IN80B_HUMAN,reviewed,INO80 complex subunit B (High mobility group AT-hook 1-like 4) (IES2 homolog) (hIes2) (PAP-1-associated protein 1) (PAPA-1) (Zinc finger HIT domain-containing protein 4),INO80B HMGA1L4 PAPA1 ZNHIT4,Homo sapiens (Human),356,INO80B
387,p51965,P51965,UB2E1_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 E1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme E1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme E1) (UbcH6) (Ubiquitin carrier protein E1) (Ubiquitin-protein ligase E1),UBE2E1 UBCH6,Homo sapiens (Human),193,UBE2E1
388,q9nr28,Q9NR28,DBLOH_HUMAN,reviewed,"Diablo IAP-binding mitochondrial protein (Diablo homolog, mitochondrial) (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspases) (SMAC) [Cleaved into: Diablo IAP-binding mitochondrial protein, cleaved form]",DIABLO SMAC,Homo sapiens (Human),239,DIABLO
389,q15672,Q15672,TWST1_HUMAN,reviewed,Twist-related protein 1 (Class A basic helix-loop-helix protein 38) (bHLHa38) (H-twist),TWIST1 BHLHA38 TWIST,Homo sapiens (Human),202,TWIST1
390,q9ujx4,Q9UJX4,APC5_HUMAN,reviewed,Anaphase-promoting complex subunit 5 (APC5) (Cyclosome subunit 5),ANAPC5 APC5,Homo sapiens (Human),755,ANAPC5
391,q9uhd9,Q9UHD9,UBQL2_HUMAN,reviewed,Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2),UBQLN2 N4BP4 PLIC2 HRIHFB2157,Homo sapiens (Human),624,UBQLN2
392,p32969,P32969,RL9_HUMAN,reviewed,Large ribosomal subunit protein uL6 (60S ribosomal protein L9),RPL9 OK/SW-cl.103; RPL9P7; RPL9P8; RPL9P9,Homo sapiens (Human),192,RPL9
393,q8n0s6,Q8N0S6,CENPL_HUMAN,reviewed,Centromere protein L (CENP-L) (Interphase centromere complex protein 33),CENPL C1orf155 ICEN33,Homo sapiens (Human),344,CENPL
394,q9y3c7,Q9Y3C7,MED31_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31) (Mediator complex subunit SOH1) (hSOH1),MED31 SOH1 CGI-125,Homo sapiens (Human),131,MED31
395,p51955,P51955,NEK2_HUMAN,reviewed,Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1),NEK2 NEK2A NLK1,Homo sapiens (Human),445,NEK2
396,q9bym8,Q9BYM8,HOIL1_HUMAN,reviewed,RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3),RBCK1 C20orf18 RNF54 UBCE7IP3 XAP3 XAP4,Homo sapiens (Human),510,RBCK1
397,q99708,Q99708,CTIP_HUMAN,reviewed,DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2),RBBP8 CTIP,Homo sapiens (Human),897,RBBP8
398,o00255,O00255,MEN1_HUMAN,reviewed,Menin,MEN1 SCG2,Homo sapiens (Human),610,MEN1
399,q00403,Q00403,TF2B_HUMAN,reviewed,Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB) (S300-II),GTF2B TF2B TFIIB,Homo sapiens (Human),316,GTF2B
400,q86wx3,Q86WX3,AROS_HUMAN,reviewed,Active regulator of SIRT1 (40S ribosomal protein S19-binding protein 1) (RPS19-binding protein 1) (S19BP),RPS19BP1 AROS,Homo sapiens (Human),136,RPS19BP1
401,q9y6k9,Q9Y6K9,NEMO_HUMAN,reviewed,NF-kappa-B essential modulator (NEMO) (FIP-3) (IkB kinase-associated protein 1) (IKKAP1) (Inhibitor of nuclear factor kappa-B kinase subunit gamma) (I-kappa-B kinase subunit gamma) (IKK-gamma) (IKKG) (IkB kinase subunit gamma) (NF-kappa-B essential modifier),IKBKG FIP3 NEMO,Homo sapiens (Human),419,IKBKG
402,q96sw2,Q96SW2,CRBN_HUMAN,reviewed,Protein cereblon,CRBN AD-006,Homo sapiens (Human),442,CRBN
403,p59768,P59768,GBG2_HUMAN,reviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 (G gamma-I),GNG2,Homo sapiens (Human),71,GNG2
404,g2xkq0,G2XKQ0,SUMO5_HUMAN,reviewed,Small ubiquitin-related modifier 5 (SUMO-5) (SUMO1 pseudogene 1) (Ubiquitin-like 2) (Ubiquitin-like 6),SUMO1P1 SUMO5 UBL2 UBL6,Homo sapiens (Human),101,SUMO1P1
405,q9bs16,Q9BS16,CENPK_HUMAN,reviewed,Centromere protein K (CENP-K) (Interphase centromere complex protein 37) (Protein AF-5alpha) (p33),CENPK ICEN37 FKSG14,Homo sapiens (Human),269,CENPK
406,q9ubq5,Q9UBQ5,EIF3K_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28),EIF3K EIF3S12 ARG134 HSPC029 MSTP001 PTD001,Homo sapiens (Human),218,EIF3K
407,p46100,P46100,ATRX_HUMAN,reviewed,Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX),ATRX RAD54L XH2,Homo sapiens (Human),2492,ATRX
408,q9bue0,Q9BUE0,MED18_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (p28b),MED18,Homo sapiens (Human),208,MED18
409,q9y4a5,Q9Y4A5,TRRAP_HUMAN,reviewed,Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog),TRRAP PAF400,Homo sapiens (Human),3859,TRRAP
410,q8wub8,Q8WUB8,PHF10_HUMAN,reviewed,PHD finger protein 10 (BRG1-associated factor 45a) (BAF45a) (XAP135),PHF10 BAF45A,Homo sapiens (Human),498,PHF10
411,p61313,P61313,RL15_HUMAN,reviewed,Large ribosomal subunit protein eL15 (60S ribosomal protein L15),RPL15 EC45 TCBAP0781,Homo sapiens (Human),204,RPL15
412,p16402,P16402,H13_HUMAN,reviewed,Histone H1.3 (Histone H1c) (Histone H1s-2),H1-3 H1F3 HIST1H1D,Homo sapiens (Human),221,H1-3
413,q9npj6,Q9NPJ6,MED4_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 4 (Activator-recruited cofactor 36 kDa component) (ARC36) (Mediator complex subunit 4) (TRAP/SMCC/PC2 subunit p36 subunit) (Vitamin D3 receptor-interacting protein complex 36 kDa component) (DRIP36),MED4 ARC36 DRIP36 VDRIP HSPC126,Homo sapiens (Human),270,MED4
414,q9y3u8,Q9Y3U8,RL36_HUMAN,reviewed,Large ribosomal subunit protein eL36 (60S ribosomal protein L36),RPL36,Homo sapiens (Human),105,RPL36
415,p62081,P62081,RS7_HUMAN,reviewed,Small ribosomal subunit protein eS7 (40S ribosomal protein S7),RPS7,Homo sapiens (Human),194,RPS7
416,p46782,P46782,RS5_HUMAN,reviewed,"Small ribosomal subunit protein uS7 (40S ribosomal protein S5) [Cleaved into: Small ribosomal subunit protein uS7, N-terminally processed (40S ribosomal protein S5, N-terminally processed)]",RPS5,Homo sapiens (Human),204,RPS5
417,p27695,P27695,APEX1_HUMAN,reviewed,"DNA repair nuclease/redox regulator APEX1 (EC 3.1.11.2) (EC 3.1.21.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (DNA-(apurinic or apyrimidinic site) endonuclease) (Redox factor-1) (REF-1) [Cleaved into: DNA repair nuclease/redox regulator APEX1, mitochondrial]",APEX1 APE APE1 APEX APX HAP1 REF1,Homo sapiens (Human),318,APEX1
418,q6pj21,Q6PJ21,SPSB3_HUMAN,reviewed,SPRY domain-containing SOCS box protein 3 (SSB-3),SPSB3 C16orf31 SSB3,Homo sapiens (Human),355,SPSB3
419,p63165,P63165,SUMO1_HUMAN,reviewed,Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1),SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43,Homo sapiens (Human),101,SUMO1
420,p10412,P10412,H14_HUMAN,reviewed,Histone H1.4 (Histone H1b) (Histone H1s-4),H1-4 H1F4 HIST1H1E,Homo sapiens (Human),219,H1-4
421,p62837,P62837,UB2D2_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2) (p53-regulated ubiquitin-conjugating enzyme 1),UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B,Homo sapiens (Human),147,UBE2D2
422,o95149,O95149,SPN1_HUMAN,reviewed,Snurportin-1 (RNA U transporter 1),SNUPN RNUT1 SPN1,Homo sapiens (Human),360,SNUPN
